,Link,Name,Subtitle,Price,Sale Price
33,https://www.nike.comhttps://www.nike.com/ca/t/tech-fleece-joggers-rFdfSt/HV0959-355,Nike Tech,Men's Fleece Joggers,$120.99$140,$120.99
34,https://www.nike.comhttps://www.nike.com/ca/t/paris-saint-germain-tech-fleece-windrunner-football-hoodie-FxRH4m/FZ7224-410,Paris Saint-Germain Tech Fleece Windrunner,Men's Nike Football Full-Zip Hoodie,$136.99$195,$136.99
35,https://www.nike.comhttps://www.nike.com/ca/t/fc-barcelona-strike-dri-fit-football-knit-tracksuit-KM3H3T/FN9452-011,F.C. Barcelona Strike,Men's Nike Dri-FIT Football Knit Tracksuit,$120.99$160,$120.99
36,https://www.nike.comhttps://www.nike.com/ca/t/tatum-chicago-trousers-hPNcDc/HF7843-222,Tatum Chicago,Men's Trousers,$120.99$160,$120.99
37,https://www.nike.comhttps://www.nike.com/ca/t/paris-saint-germain-strike-dri-fit-football-jacket-JzKd8K/FN9799-100,Paris Saint-Germain Strike,Men's Nike Dri-FIT Football Jacket,$133.99$190,$133.99
38,https://www.nike.comhttps://www.nike.com/ca/t/jordan-flight-mvp-jacket-vMzbDf/FD7423-200,Jordan Flight MVP,Men's Jacket,$120.99$160,$120.99
39,https://www.nike.comhttps://www.nike.com/ca/t/paris-saint-germain-tech-fleece-windrunner-football-hoodie-lnlh0s/FZ7257-410,Paris Saint-Germain Tech Fleece Windrunner,Women's Nike Football Full-Zip Hoodie,$136.99$195,$136.99
40,https://www.nike.comhttps://www.nike.com/ca/t/jordan-renegade-jacket-MC7n43/FB5088-340,Jordan Renegade,Women's Jacket,$217.99$310,$217.99
41,https://www.nike.comhttps://www.nike.com/ca/t/tech-oversized-woven-trousers-8R7HJf/HV6515-435,Nike Tech,Men's Oversized Woven Trousers,$120.99$160,$120.99
42,https://www.nike.comhttps://www.nike.com/ca/t/jordan-mvp-jacket-Nt8Dq5/FV7440-480,Jordan MVP,Men's Jacket,$120.99$160,$120.99
43,https://www.nike.comhttps://www.nike.com/ca/t/liverpool-fc-strike-windrunner-primaloft-football-hooded-parka-hSz3pF/FQ2967-078,Liverpool F.C. Strike Windrunner PrimaLoft®,Men's Nike Storm-FIT Football Hooded Parka,$227.99$325,$227.99
44,https://www.nike.comhttps://www.nike.com/ca/t/go-firm-support-high-waisted-full-length-leggings-with-pockets-1jFh2S/DQ5668-010,Nike Go,Women's Firm-Support High-Waisted Full-Length Leggings with Pockets,$120.99$150,$120.99
45,https://www.nike.comhttps://www.nike.com/ca/t/inter-milan-2024-25-match-home-dri-fit-adv-football-authentic-shirt-S08cmF/FN8767-440,Inter Milan 2024/25 Match Home,Men's Nike Dri-FIT ADV Football Authentic Shirt,$147.99$210,$147.99
46,https://www.nike.comhttps://www.nike.com/ca/t/mercurial-vapor-16-elite-sg-pro-low-top-football-boot-TFSC7g/FQ8688-002,Nike Mercurial Vapor 16 Elite,SG-Pro Low-Top Football Boot,$259.99$365,$259.99
47,https://www.nike.comhttps://www.nike.com/ca/t/jordan-jacket-RvKC0c/FN5350-045,Jordan,Women's Jacket,$142.99$190,$142.99
48,https://www.nike.comhttps://www.nike.com/ca/t/chicago-bulls-statement-edition-jordan-dri-fit-nba-swingman-jersey-MP8qzN/DO9521-010,Chicago Bulls Statement Edition,Men's Jordan Dri-FIT NBA Swingman Jersey,$120.99$150,$120.99
